vendor_id,calls,answered,avg_duration_sec,contact_rate,vendor_name
VND0000014,6132,1296,453.633887801696,0.21135029354207435,Knowlarity
VND0000006,5989,1251,450.6610452496243,0.20888295207881116,Knowlarity
VND0000010,6248,1266,453.7258322663252,0.2026248399487836,Airtel
VND0000011,6177,1242,451.4983001457018,0.20106847984458476,Airtel
VND0000013,5974,1200,453.758453297623,0.2008704385671242,Knowlarity
VND0000003,6068,1209,454.57663150955835,0.19924192485168096,Twilio
VND0000008,5989,1184,449.0148605777258,0.19769577558857906,Airtel
VND0000015,6150,1215,454.9411382113821,0.1975609756097561,TataTele
VND0000002,6026,1184,442.9357782940591,0.19648191171589777,Exotel
VND0000005,6153,1201,452.92150170648466,0.19518933853404843,Twilio
VND0000004,6023,1175,450.5291383031712,0.1950855055620123,Twilio
VND0000007,6138,1193,446.4160964483545,0.19436298468556534,TataTele
VND0000001,6128,1185,449.13936031331593,0.19337467362924282,Airtel
VND0000012,6094,1178,452.2144732523794,0.19330489005579257,Airtel
VND0000009,6061,1167,451.24748391354564,0.192542484738492,Exotel
